ebay_id,td_id,c4c_id,car_fuel,car_nb_shift,car_desc,car_trans,car_trim,car_version,car_plat,car_d_from,car_d_to,car_y_from,car_y_to,car_ranking,car_mark,car_name,car_doors,car_chassis,car_model_y_from,car_model_y_to,car_code,car_engine_desc,car_aspi,car_alim,car_name_cyl,car_valve,car_kw,car_cv,car_disp,car_cyl,car_nb_cyl,car_type,car_image,car_date_add,car_url,car_user,car_method,car_valid,car_comment
car_ebayID,car_tdID,42800,car_fuel,car_nbShift,car_desc,car_trans,car_trim,car_version,car_plat,car_YFrom,car_YTo,car_year,,ABC_ranking,model_mark,model_name,model_doors,model_chassis,model_YFrom,model_YTo,engine_code,engine_desc,engine_aspi,engine_alim,engine_nameCyl,engine_valve,engine_KW,engine_CV,engine_disp,,engine_nbCyl,engine_type,,,info_URL,info_user,info_method,info_valid,info_comment
228509621,1983,39298,,,,,,1.3 Automatik,122,01/06/1979,01/09/1984,1979,1984,,Renault,5,,,,,,,,,,,40 KW,54 PS,,1289.0,,,,,,Jerome,Ebay,C4C_updated,C4C_41578
228509681,30643,39299,,,,,,1.6,134,01/08/1986,01/11/1993,1986,1993,,Renault,18,,,,,,,,,,,52 KW,71 PS,,1647.0,,,,,,Jerome,Ebay,True,
228511341,28807,39300,,,,,,2.5 D,PXX,01/05/1998,01/03/2001,1998,2001,,Renault,Trafic Camion Plate-Forme/Châssis,,,,,,,,,,,55 KW,75 PS,,2499.0,,,,,,Jerome,Ebay,True,
228512751,16020,39301,,,,,,1.2,SB0/1/2,01/09/1998,01/12/2023,1998,2023,,Renault,Clio II Camionnette - 3/5 Portes,,,,,,,,,,,43 KW,58 PS,,1149.0,,,,,,Jerome,Ebay,C4C updated,C4C_40168 & C4C_40163
228512801,2105,39302,,,,,,2.0 TX/GTX,136,01/10/1980,01/10/1985,1980,1985,,Renault,Fuego,,,,,,,,,,,81 KW,110 PS,,1995.0,,,,,,Jerome,Ebay,C4C updated,C4C_40446
228513081,28823,39303,,,,,,1.9 D,SB0/1/2,01/02/2000,01/05/2001,2000,2001,,Renault,Clio II Camionnette - 3/5 Portes,,,,,,,,,,,48 KW,65 PS,,1870.0,,,,,,Jerome,Ebay,C4C updated,C4C_40164 & C4C_40159
228513551,2119,39304,,,,,,2.1 D,"T5, T6, T7",01/03/1980,01/04/1989,1980,1989,,Renault,Trafic Autobus/Autocar,,,,,,,,,,,43 KW,58 PS,3.2L,2068.0,,,,,,Jerome,Ebay,True,
228513651,2056,39305,,,,,,1.7,"853, D53",01/04/1992,01/09/1993,1992,1993,,Renault,19 II Cabriolet,,,,,,,,,,,66 KW,90 PS,,1721.0,,,,,,Jerome,Ebay,True,
228515581,27730,39306,,,,,,1.1,B/C40,01/10/1989,01/12/1990,1989,1990,,Renault,Super 5,,,,,,,,,,,35 KW,48 PS,,1108.0,,,,,,Jerome,Ebay,True,
228515931,4798,39307,,,,,,1.8,B/C53,01/04/1992,01/12/1995,1992,1995,,Renault,19 II,,,,,,,,,,,66 KW,90 PS,,1794.0,,,,,,Jerome,Ebay,C4C updated,C4C_40261
